Sensor Type,x,y,x dot,y dot,phi,rmse x,rmse y,rmse x dot,rmse y dot,gt x,gt y,gt x dot,gt y dot
R,11.8884,21.1154,-5.4346,0.719483,1.065687,0.301867,0.391634,0.685923,0.812385,12.0276,21.0996,-4.84773,0.408778
L,11.8884,21.1154,-5.4346,0.719483, ,0.301028,0.390401,0.685278,0.810553,11.785,21.117,-4.86022,0.286869
R,11.4246,21.0746,-5.40006,0.364877,1.079184,0.300229,0.389202,0.684419,0.80817,11.5418,21.1283,-4.86971,0.165281
L,11.4246,21.0746,-5.40006,0.364877, ,0.29946,0.388019,0.683538,0.806053,11.2982,21.1335,-4.87623,0.0441057
R,10.8477,21.0329,-5.52362,0.069751,1.094759,0.298976,0.386899,0.683299,0.803643,11.0544,21.1327,-4.87982,-0.076565
L,10.8477,21.0329,-5.52362,0.069751, ,0.298072,0.385779,0.68306,0.801446,10.8105,21.1259,-4.88053,-0.196643
R,10.0477,21.152,-5.88543,0.218081,1.115726,0.299912,0.384613,0.685499,0.800087,10.5666,21.1131,-4.8784,-0.31604
L,10.0477,21.152,-5.88543,0.218081, ,0.299768,0.383472,0.687945,0.799276,10.3229,21.0943,-4.87349,-0.434674
R,9.5877,21.1167,-5.77791,-0.114841,1.150659,0.301292,0.382333,0.689513,0.797588,10.0795,21.0697,-4.86585,-0.552463
L,9.5877,21.1167,-5.77791,-0.114841, ,0.301005,0.381234,0.691141,0.796353,9.83658,21.0391,-4.85554,-0.669327
R,9.09561,21.086,-5.64895,-0.125445,1.167314,0.302564,0.380152,0.691883,0.79561,9.59422,21.0028,-4.84262,-0.785189
L,9.09561,21.086,-5.64895,-0.125445, ,0.302314,0.379148,0.692724,0.795486,9.35258,20.9607,-4.82714,-0.899977
R,8.80974,20.9578,-5.3254,-0.578215,1.186151,0.302313,0.378047,0.691817,0.793846,9.11177,20.9128,-4.80919,-1.01362
L,8.80974,20.9578,-5.3254,-0.578215, ,0.301465,0.377015,0.691011,0.792629,8.87192,20.8594,-4.78881,-1.12605
R,8.71097,20.6873,-4.73508,-1.05655,1.193709,0.300646,0.376016,0.689003,0.790442,8.63315,20.8003,-4.76608,-1.2372
L,8.71097,20.6873,-4.73508,-1.05655, ,0.300733,0.374946,0.687009,0.788463,8.39557,20.7358,-4.74108,-1.34701
R,8.24967,20.5424,-4.79068,-1.33976,1.190089,0.299946,0.373984,0.685057,0.786243,8.1593,20.6657,-4.71387,-1.45542
L,8.24967,20.5424,-4.79068,-1.33976, ,0.300096,0.372931,0.683144,0.784174,7.92445,20.5903,-4.68453,-1.56237
R,7.90102,20.3687,-4.69348,-1.69222,1.206990,0.299661,0.372022,0.681207,0.781945,7.69111,20.5096,-4.65313,-1.66781
L,7.90102,20.3687,-4.69348,-1.69222, ,0.300651,0.370992,0.679302,0.779756,7.45939,20.4237,-4.61975,-1.7717
R,7.34608,20.2026,-4.83182,-1.74321,1.218252,0.299933,0.370077,0.677645,0.777625,7.22939,20.3326,-4.58448,-1.87399
L,7.34608,20.2026,-4.83182,-1.74321, ,0.300203,0.36905,0.676084,0.775642,7.00119,20.2364,-4.54738,-1.97462
R,6.86951,20.0296,-4.84611,-1.82245,1.240676,0.299451,0.368108,0.674673,0.773711,6.7749,20.1352,-4.50854,-2.07357
L,6.86951,20.0296,-4.84611,-1.82245, ,0.299562,0.36709,0.673393,0.772005,6.55059,20.0292,-4.46805,-2.17079
R,6.45248,19.8513,-4.79548,-1.98319,1.259553,0.298879,0.366113,0.672099,0.770167,6.32834,19.9183,-4.42598,-2.26625
L,6.45248,19.8513,-4.79548,-1.98319, ,0.299146,0.365129,0.670955,0.768565,6.10823,19.8027,-4.38241,-2.35993
R,5.80533,19.6339,-5.10553,-2.3064,1.275748,0.298398,0.364153,0.671521,0.766548,5.89034,19.6824,-4.33744,-2.45178
L,5.80533,19.6339,-5.10553,-2.3064, ,0.297745,0.363211,0.672375,0.76467,5.67472,19.5577,-4.29114,-2.5418
R,5.4989,19.3131,-4.79729,-2.5144,1.304401,0.296956,0.362332,0.671793,0.762658,5.46145,19.4284,-4.24359,-2.62995
L,5.4989,19.3131,-4.79729,-2.5144, ,0.296717,0.361364,0.671441,0.76076,5.25059,19.2948,-4.19488,-2.71622
R,5.23786,19.0594,-4.45682,-2.44833,1.313329,0.296271,0.360472,0.670039,0.759169,5.04219,19.157,-4.1451,-2.80059
L,5.23786,19.0594,-4.45682,-2.44833, ,0.296926,0.359532,0.668784,0.757817,4.8363,19.015,-4.09432,-2.88305
R,4.56855,18.8398,-4.86189,-2.70936,1.321394,0.296181,0.358591,0.669664,0.756046,4.63297,18.8689,-4.04263,-2.96359
L,4.56855,18.8398,-4.86189,-2.70936, ,0.295569,0.357758,0.670881,0.754448,4.43224,18.7188,-3.99012,-3.0422
R,4.25411,18.5387,-4.5853,-2.70548,1.354390,0.294802,0.35683,0.670766,0.753072,4.23416,18.5648,-3.93685,-3.11888
L,4.25411,18.5387,-4.5853,-2.70548, ,0.294446,0.35603,0.670934,0.75194,4.03876,18.4071,-3.88293,-3.19362
R,3.69853,18.275,-4.8197,-3.24314,1.365940,0.293877,0.355118,0.672976,0.750002,3.84606,18.2457,-3.82841,-3.26644
L,3.69853,18.275,-4.8197,-3.24314, ,0.293138,0.35448,0.675417,0.748106,3.65611,18.0807,-3.77339,-3.33732
R,3.5154,17.9352,-4.32744,-3.07895,1.393490,0.292408,0.353578,0.675097,0.746562,3.46891,17.9122,-3.71795,-3.40627
L,3.5154,17.9352,-4.32744,-3.07895, ,0.292129,0.352953,0.675048,0.745194,3.28449,17.7402,-3.66215,-3.47331
R,2.96411,17.6251,-4.56148,-3.44843,1.397668,0.291557,0.352086,0.676755,0.743338,3.10287,17.565,-3.60609,-3.53844
L,2.96411,17.6251,-4.56148,-3.44843, ,0.290837,0.351607,0.678851,0.741547,2.92405,17.3866,-3.54982,-3.60167
R,2.75592,17.2086,-4.16388,-3.79416,1.426668,0.29011,0.350727,0.67881,0.739749,2.74805,17.2051,-3.49344,-3.66302
L,2.75592,17.2086,-4.16388,-3.79416, ,0.289669,0.350105,0.679057,0.737924,2.57486,17.0205,-3.437,-3.72251
R,2.39375,16.8612,-4.05857,-3.4804,1.432666,0.288952,0.349243,0.679052,0.736397,2.4045,16.833,-3.38059,-3.78014
L,2.39375,16.8612,-4.05857,-3.4804, ,0.288449,0.348719,0.679335,0.735005,2.23695,16.6427,-3.32428,-3.83595
R,1.86499,16.4781,-4.25155,-3.51762,1.450991,0.288107,0.347869,0.681157,0.733665,2.07221,16.4497,-3.26812,-3.88995
